"","countrycode","year","scenario","gdppc","gini","urbanization"
"297","AUT",2080,"SSP2",69381.02308,29.126379,85.3
"298","AUT",2080,"SSP3",61002.92824,37.455456,70.39
"299","AUT",2080,"SSP4",70990.91568,39.724529,85.3
"300","AUT",2080,"SSP5",101741.4602,20.307507,91.66
"301","AUT",2085,"SSP1",80638.64881,21.952547,92.36
"302","AUT",2085,"SSP2",73040.8648,29.035831,86.13
"303","AUT",2085,"SSP3",64348.47629,38.327896,70.4
"304","AUT",2085,"SSP4",74883.52468,40.862106,86.13
"305","AUT",2085,"SSP5",110684.8457,19.167255,92.36
"306","AUT",2090,"SSP1",85935.56784,21.250906,93
"307","AUT",2090,"SSP2",76958.13848,28.939631,86.91
"308","AUT",2090,"SSP3",67847.94687,39.207989,70.41
"309","AUT",2090,"SSP4",79010.53329,42.025219,86.91
"310","AUT",2090,"SSP5",120508.2128,17.964182,93
"311","AUT",2095,"SSP1",91506.24324,20.551268,93.58
"312","AUT",2095,"SSP2",81104.34957,28.843048,87.64
"313","AUT",2095,"SSP3",71511.61517,40.092121,70.42
"314","AUT",2095,"SSP4",83308.3582,43.209702,87.64
"315","AUT",2095,"SSP5",131079.8278,16.714548,93.58
"316","AUT",2100,"SSP1",97377.16547,19.855623,94.11
"317","AUT",2100,"SSP2",85513.75282,28.745888,88.34
"318","AUT",2100,"SSP3",75392.41896,40.978367,70.43
"319","AUT",2100,"SSP4",87828.41246,44.417194,88.34
"320","AUT",2100,"SSP5",142454.9439,15.411225,94.11
"321","AZE",2025,"SSP1",31976.7367,16.9567675,64.47
"322","AZE",2025,"SSP2",32869.67516,17.2347519444,61.4
"323","AZE",2025,"SSP3",31072.43216,17.6287522778,54.47
"324","AZE",2025,"SSP4",31602.64132,17.7193403333,64.47
"325","AZE",2025,"SSP5",32491.54228,16.9225065556,64.47
"326","AZE",2030,"SSP1",33090.23867,16.9414788333,68.07
"327","AZE",2030,"SSP2",33564.88659,17.356093,63.78
"328","AZE",2030,"SSP3",31831.23142,17.95716,55.32
"329","AZE",2030,"SSP4",31233.40575,18.1020893333,68.07
"330","AZE",2030,"SSP5",34148.63848,16.8852028889,68.07
"331","AZE",2035,"SSP1",33677.71068,16.8506472778,71.36
"332","AZE",2035,"SSP2",33838.25971,17.4410230556,65.86
"333","AZE",2035,"SSP3",32165.08708,18.2849973333,56.18
"334","AZE",2035,"SSP4",30387.68036,18.5032206667,71.36
"335","AZE",2035,"SSP5",35421.08032,16.7640773889,71.36
"336","AZE",2040,"SSP1",34953.24573,16.6814800556,74.36
"337","AZE",2040,"SSP2",34927.46801,17.4958439444,67.67
"338","AZE",2040,"SSP3",33210.01138,18.6193658333,57.03
"339","AZE",2040,"SSP4",30284.70292,18.9120478333,74.36
"340","AZE",2040,"SSP5",37538.47019,16.5369562778,74.36
"341","AZE",2045,"SSP1",36888.00305,16.4372710556,77.07
"342","AZE",2045,"SSP2",36777.75127,17.5246506667,69.26
"343","AZE",2045,"SSP3",34902.99226,18.9638266111,57.89
"344","AZE",2045,"SSP4",30828.25883,19.3251254444,77.07
"345","AZE",2045,"SSP5",40492.27514,16.1976253333,77.07
"346","AZE",2050,"SSP1",39382.40344,16.1157958333,79.51
"347","AZE",2050,"SSP2",39234.15016,17.5299990556,70.65
"348","AZE",2050,"SSP3",37131.91186,19.3218071667,58.75
"349","AZE",2050,"SSP4",31804.15023,19.7482964444,79.51
"350","AZE",2050,"SSP5",44208.73948,15.7287036111,79.51
"351","AZE",2055,"SSP1",41908.70847,15.8579567222,81.69
"352","AZE",2055,"SSP2",41577.27483,17.5168053333,71.88
"353","AZE",2055,"SSP3",39253.23972,19.6940780556,59.61
"354","AZE",2055,"SSP4",32634.48783,20.1835920556,81.69
"355","AZE",2055,"SSP5",47932.86733,15.3572096667,81.69
"356","AZE",2060,"SSP1",44525.37611,15.5785607778,83.66
"357","AZE",2060,"SSP2",43847.49432,17.4868759444,72.97
"358","AZE",2060,"SSP3",41183.74594,20.0771216111,60.47
"359","AZE",2060,"SSP4",33421.50126,20.629277,83.66
"360","AZE",2060,"SSP5",51876.90356,14.9469780556,83.66
"361","AZE",2065,"SSP1",46623.87751,15.2777066667,85.41
"362","AZE",2065,"SSP2",45500.09064,17.4427164444,73.94
"363","AZE",2065,"SSP3",42372.16625,20.468125,61.32
"364","AZE",2065,"SSP4",33841.704,21.0844228333,85.41
"365","AZE",2065,"SSP5",55478.90483,14.4989391495,85.41
"366","AZE",2070,"SSP1",48272.99544,14.9549202778,86.98
"367","AZE",2070,"SSP2",46662.24492,17.3739015556,74.8
"368","AZE",2070,"SSP3",42938.13869,20.8659869444,62.18
"369","AZE",2070,"SSP4",34040.82393,21.5491053333,86.98
"370","AZE",2070,"SSP5",58889.9871,14.0438393784,86.98
"371","AZE",2075,"SSP1",49563.6948,14.6114453889,88.38
"372","AZE",2075,"SSP2",47399.4007,17.2472535556,75.57
"373","AZE",2075,"SSP3",43021.77987,21.2689042222,63.03
"374","AZE",2075,"SSP4",34041.32731,22.0075611667,88.38
"375","AZE",2075,"SSP5",62158.32775,13.5867536657,88.38
"376","AZE",2080,"SSP1",50733.31252,14.252089,89.63
"377","AZE",2080,"SSP2",47893.21837,17.1087951667,76.26
"378","AZE",2080,"SSP3",42879.62105,21.6756422222,63.88
"379","AZE",2080,"SSP4",33935.78354,22.436722,89.63
"380","AZE",2080,"SSP5",65514.06166,13.1331674356,89.63
"381","AZE",2085,"SSP1",52269.80411,13.879494,90.74
"382","AZE",2085,"SSP2",48596.89903,16.9606212778,76.88
"383","AZE",2085,"SSP3",42964.35085,22.0852952222,64.73
"384","AZE",2085,"SSP4",34022.77913,22.8693835,90.74
"385","AZE",2085,"SSP5",69556.81613,12.7243362992,90.74
"386","AZE",2090,"SSP1",54486.071,13.5066580556,91.73
"387","AZE",2090,"SSP2",49831.3518,16.8039405,77.45
"388","AZE",2090,"SSP3",43577.98624,22.4967565,65.57
"389","AZE",2090,"SSP4",34517.38224,23.3021285,91.73
"390","AZE",2090,"SSP5",74734.17381,12.3565538213,91.73
"391","AZE",2095,"SSP1",57514.48882,13.1015033889,92.62
"392","AZE",2095,"SSP2",51753.41941,16.6384223889,77.95
"393","AZE",2095,"SSP3",44821.65665,22.9090115,66.41
"394","AZE",2095,"SSP4",35511.48199,23.7346683889,92.62
"395","AZE",2095,"SSP5",81298.10864,12.0247326326,92.62
"396","AZE",2100,"SSP1",61227.48895,12.6725838889,93.41
"397","AZE",2100,"SSP2",54303.96744,16.4227857222,78.42
"398","AZE",2100,"SSP3",46571.31034,23.321703,67.24
"399","AZE",2100,"SSP4",36942.48963,24.1671585,93.41
"400","AZE",2100,"SSP5",89166.68263,11.7050161493,93.41
"401","BDI",2025,"SSP1",715.6474079,38.6988036667,20.82
"402","BDI",2025,"SSP2",588.2915118,39.488608,17.11
"403","BDI",2025,"SSP3",489.9422802,40.3186256667,15.36
"404","BDI",2025,"SSP4",503.4153175,40.584633,20.82
"405","BDI",2025,"SSP5",753.3465543,38.633004,20.82
"406","BDI",2030,"SSP1",884.1238783,38.373117,25.12
"407","BDI",2030,"SSP2",682.1943797,39.2243428333,19.51
"408","BDI",2030,"SSP3",518.3588792,40.4750938333,16.7
"409","BDI",2030,"SSP4",556.5278304,40.523741,25.12
"410","BDI",2030,"SSP5",981.4281446,37.980378098,25.12
"411","BDI",2035,"SSP1",1071.839127,37.3970501667,29.86
"412","BDI",2035,"SSP2",769.5796115,38.8986986667,22.06
"413","BDI",2035,"SSP3",528.8565047,40.61535,17.94
"414","BDI",2035,"SSP4",600.1382639,40.3679666667,29.86
"415","BDI",2035,"SSP5",1264.788953,36.442592639,29.86
"416","BDI",2040,"SSP1",1290.030589,35.9995423454,34.94
"417","BDI",2040,"SSP2",853.9774075,38.254846,24.72
