"","countrycode","year","gdppc","scenario"
"11234","SWE",1999,29501.66219,"Observed"
"11235","SWE",2000,30645.42313,"Observed"
"11236","SWE",2001,30913.3019,"Observed"
"11237","SWE",2002,31608.07958,"Observed"
"11238","SWE",2003,32136.53722,"Observed"
"11239","SWE",2004,33381.73168,"Observed"
"11240","SWE",2005,34855.32137,"Observed"
"11241","SWE",2006,36224.98692,"Observed"
"11242","SWE",2007,37358.6767,"Observed"
"11243","SWE",2008,37231.47614,"Observed"
"11244","SWE",2009,35246.06516,"Observed"
"11245","SWE",2010,35245.74177,"Observed"
"11246","SWE",2011,36163.499863,"Observed"
"11247","SWE",2012,37081.257956,"Observed"
"11248","SWE",2013,37999.016049,"Observed"
"11249","SWE",2014,38916.774142,"Observed"
"11250","SWE",2015,39834.532235,"Observed"
"11251","SWE",2016,40752.290328,"Observed"
"11252","SWE",2017,41670.048421,"Observed"
"11253","SWE",2018,42587.806514,"Observed"
"11254","SWE",2019,43505.564607,"Observed"
"11255","SWE",2020,44423.3227,"Observed"
"11256","SWZ",1950,NA,"Observed"
"11257","SWZ",1951,NA,"Observed"
"11258","SWZ",1952,NA,"Observed"
"11259","SWZ",1953,NA,"Observed"
"11260","SWZ",1954,NA,"Observed"
"11261","SWZ",1955,NA,"Observed"
"11262","SWZ",1956,NA,"Observed"
"11263","SWZ",1957,NA,"Observed"
"11264","SWZ",1958,NA,"Observed"
"11265","SWZ",1959,NA,"Observed"
"11266","SWZ",1960,NA,"Observed"
"11267","SWZ",1961,NA,"Observed"
"11268","SWZ",1962,NA,"Observed"
"11269","SWZ",1963,NA,"Observed"
"11270","SWZ",1964,NA,"Observed"
"11271","SWZ",1965,NA,"Observed"
"11272","SWZ",1966,NA,"Observed"
"11273","SWZ",1967,NA,"Observed"
"11274","SWZ",1968,NA,"Observed"
"11275","SWZ",1969,NA,"Observed"
"11276","SWZ",1970,1221.479921,"Observed"
"11277","SWZ",1971,1273.139835,"Observed"
"11278","SWZ",1972,1472.259115,"Observed"
"11279","SWZ",1973,1236.310656,"Observed"
"11280","SWZ",1974,1783.796681,"Observed"
"11281","SWZ",1975,2202.74302,"Observed"
"11282","SWZ",1976,2270.518921,"Observed"
"11283","SWZ",1977,2267.095454,"Observed"
"11284","SWZ",1978,2171.997337,"Observed"
"11285","SWZ",1979,2222.335993,"Observed"
"11286","SWZ",1980,2228.336066,"Observed"
"11287","SWZ",1981,2273.607224,"Observed"
"11288","SWZ",1982,2213.587948,"Observed"
"11289","SWZ",1983,2191.395339,"Observed"
"11290","SWZ",1984,2290.406485,"Observed"
"11291","SWZ",1985,2471.241901,"Observed"
"11292","SWZ",1986,2546.644623,"Observed"
"11293","SWZ",1987,2767.632627,"Observed"
"11294","SWZ",1988,2812.837065,"Observed"
"11295","SWZ",1989,2897.644888,"Observed"
"11296","SWZ",1990,3081.855611,"Observed"
"11297","SWZ",1991,2983.649542,"Observed"
