"","countrycode","sptemp","cdd","cddeq","clim.max"
"177","BEN","20",2755,3472.34006642461,0.998563610211294
"178","BFA","20",2942,3655.82664488134,0.998980805129778
"179","BGD","20",1932,2646.22261329208,0.993267325181298
"180","BGR","20",120,221.962200133286,0.373380508775889
"181","BHS","20",1728,2406.01479659637,0.989449627904933
"182","BIH","20",67,134.136534117589,0.261535168128794
"183","BLR","20",36,82.406324830119,0.186530062728695
"184","BLZ","20",1860,2567.56478808093,0.992200476478062
"185","BOL","20",998,1470.1815044481,0.939286299239365
"186","BRA","20",1152,1652.45574243826,0.956822628063652
"187","BRN","20",2299,2992.26860741251,0.996475049115301
"188","BTN","20",680,1047.02744878476,0.866049883009115
"189","BWA","20",1037,1517.25521905911,0.944402316374912
"190","CAF","20",1649,2299.72720557737,0.987129743851347
"191","CAN","20",69,137.467874799474,0.266121214405718
"192","CHE","20",25,64.0229665645331,0.15807928160424
"193","CHL","20",14,45.6330549945453,0.128622767566139
"194","CHN","20",570,892.220246114739,0.821076750817164
"195","CIV","20",2231,2928.43068905476,0.996028104605633
"196","CMR","20",1591,2219.04684738476,0.985033846861982
"197","COD","20",1344,1883.75089863725,0.971983472100331
"198","COG","20",1770,2459.8436832899,0.990459927253429
"199","COL","20",1021,1498.05189756092,0.942369511023371
"200","COM","20",1417,1978.76829442909,0.976544333956567
"201","CRI","20",1306,1836.13581324695,0.969374443876395
"202","CYP","20",735,1124.13330296242,0.884036032010889
"203","CZE","20",41,90.7590126236025,0.199137361374503
"204","DEU","20",48,102.448061735189,0.216453097213532
"205","DJI","20",2589,3295.85005221834,0.998001955003064
"206","DNK","20",0,0,0.051
"207","DOM","20",1459,2035.37722409683,0.978900414630616
"208","DZA","20",585,913.295862543184,0.82799121765519
"209","ECU","20",1470,2050.40647456763,0.9794851566258
"210","EGY","20",973,1439.49113821268,0.935699952488156
"211","ESP","20",270,460.509009863491,0.598881477821545
"212","EST","20",3,27.24031152516,0.0981308743168566
"213","ETH","20",446,717.876062867467,0.752111125004923
"214","FIN","20",0,0,0.051
"215","FJI","20",1404,1961.51828946577,0.975775376949402
"216","FRA","20",88,169.06056001668,0.308221684217163
"217","GAB","20",1909,2621.78226205949,0.992952478684434
"218","GBR","20",0,0,0.051
"219","GEO","20",125,230.183364764765,0.38294022054349
"220","GHA","20",2548,3251.0497090537,0.997827353862911
"221","GIN","20",1917,2630.35406793398,0.993064544786872
"222","GMB","20",2405,3097.88853826322,0.997106817139079
"223","GNB","20",2357,3049.04906169914,0.996830141171718
"224","GNQ","20",1478,2061.38492119656,0.979902026361613
"225","GRC","20",310,520.895470213925,0.641713025760088
"226","GTM","20",696,1069.5200124767,0.871567127444248
"227","GUY","20",2257,2952.54373116213,0.996203225003222
"228","HKG","20",1333,1869.8408542144,0.971245151364102
"229","HND","20",1175,1679.31893820915,0.958938030199109
"230","HRV","20",137,249.855333989284,0.405227295064535
"231","HTI","20",1694,2360.96448803033,0.988522309370318
"232","HUN","20",125,230.183364764765,0.38294022054349
"233","IDN","20",2305,2998.03288644582,0.996512841221898
"234","IND","20",2062,2774.21949340224,0.994700468894692
"235","IRL","20",0,0,0.051
"236","IRN","20",667,1028.73079562199,0.861387508245022
"237","IRQ","20",1624,2265.12219899144,0.98626935375878
"238","ISR","20",646,999.154128353236,0.853505105416663
"239","ITA","20",214,373.618459001745,0.5281117116839
"240","JAM","20",1612,2248.40809955111,0.985833420242916
"241","JOR","20",650,1004.78867935939,0.855040561586534
"242","JPN","20",339,563.865052989898,0.669376207801913
"243","KAZ","20",249,428.248806706092,0.573938573272867
"244","KEN","20",669,1031.54657195049,0.86211545437805
"245","KGZ","20",68,135.802324190385,0.263831927249656
"246","KHM","20",2587,3293.66712082213,0.997993782150347
"247","KOR","20",331,552.074695525476,0.662005670749367
"248","KWT","20",2301,2994.18739506935,0.996487674443382
"249","LAO","20",1509,2104.26241102928,0.981450588008397
"250","LBN","20",320,535.785209199434,0.651551495013692
"251","LBR","20",1931,2645.17286935574,0.993254095817647
"252","LKA","20",2146,2851.08054806137,0.995409962592896
"253","LSO","20",59,120.802233443248,0.242889947945497
"254","LTU","20",20,55.6644765694709,0.144816361774312
"255","LUX","20",44,95.7693415329004,0.206605853792162
"256","LVA","20",10,38.9449606804149,0.117656247502666
"257","MAR","20",448,720.706323595811,0.753419632830923
"258","MDA","20",141,256.392976005362,0.41245435684339
"259","MDG","20",690,1061.08952341335,0.869526337062134
"260","MDV","20",2803,3520.8932994338,0.99868828121261
"261","MEX","20",634,982.250874869031,0.848800574731365
