scenaio;countrycode;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
SSP1;KOR;82.96;84.32;85.62;86.85;88.01;89.10;90.12;91.06;91.94;92.74;93.48;94.16;94.77;95.33;95.83;96.29;96.70;97.06;97.39
SSP1;MDA;46.95;52.29;57.32;61.97;66.21;70.03;73.44;76.48;79.17;81.54;83.64;85.49;87.12;88.56;89.84;90.96;91.96;92.84;93.62
SSP1;ROU;57.47;61.26;64.92;68.42;71.72;74.80;77.66;80.27;82.65;84.79;86.72;88.43;89.95;91.29;92.46;93.49;94.39;95.17;95.84
SSP1;RUS;73.17;77.24;80.32;82.71;84.60;86.13;87.39;88.44;89.33;90.09;90.75;91.33;91.83;92.28;92.68;93.04;93.37;93.66;93.93
SSP1;RWA;18.85;22.59;26.76;31.30;36.14;41.18;46.30;51.39;56.34;61.07;65.50;69.59;73.33;76.70;79.72;82.39;84.75;86.82;88.63
SSP1;SAU;82.07;83.51;84.85;86.10;87.26;88.34;89.34;90.26;91.11;91.89;92.61;93.27;93.88;94.43;94.94;95.40;95.82;96.20;96.55
SSP1;SEN;42.38;47.24;51.95;56.43;60.63;64.52;68.08;71.32;74.25;76.90;79.27;81.40;83.30;85.01;86.53;87.90;89.12;90.22;91.20
SSP1;SRB;56.06;59.93;63.65;67.18;70.50;73.59;76.44;79.06;81.44;83.59;85.53;87.26;88.81;90.19;91.41;92.48;93.43;94.27;95.00
SSP1;SLE;38.40;42.92;47.40;51.77;55.95;59.90;63.60;67.03;70.18;73.06;75.68;78.06;80.21;82.15;83.90;85.48;86.91;88.19;89.34
SSP1;SVK;54.97;59.15;63.16;66.97;70.55;73.86;76.90;79.66;82.16;84.40;86.39;88.16;89.72;91.09;92.29;93.34;94.25;95.04;95.73
SSP1;SVN;49.51;53.81;57.99;61.99;65.77;69.31;72.59;75.60;78.34;80.83;83.06;85.07;86.86;88.45;89.87;91.11;92.22;93.19;94.04
SSP1;SOM;37.45;41.88;46.28;50.59;54.74;58.67;62.37;65.81;68.99;71.91;74.57;77.00;79.20;81.19;83.00;84.62;86.10;87.43;88.63
SSP1;ZAF;61.70;65.35;68.83;72.11;75.16;77.99;80.57;82.92;85.04;86.93;88.62;90.12;91.43;92.59;93.60;94.48;95.25;95.91;96.49
SSP1;ESP;77.40;81.29;84.20;86.44;88.20;89.62;90.78;91.75;92.57;93.26;93.87;94.39;94.85;95.25;95.61;95.93;96.22;96.48;96.72
SSP1;LKA;14.31;17.20;20.51;24.25;28.40;32.92;37.73;42.76;47.89;53.02;58.04;62.85;67.38;71.57;75.39;78.83;81.88;84.56;86.90
SSP1;SDN;40.10;45.37;50.47;55.30;59.78;63.89;67.62;70.98;73.99;76.67;79.07;81.20;83.10;84.79;86.30;87.64;88.85;89.92;90.89
SSP1;SWZ;21.37;25.66;30.28;35.10;40.01;44.86;49.56;54.01;58.17;62.00;65.51;68.69;71.57;74.16;76.49;78.60;80.49;82.19;83.72
SSP1;SWE;84.68;85.93;87.04;88.05;88.95;89.77;90.52;91.20;91.82;92.38;92.90;93.38;93.81;94.22;94.59;94.93;95.25;95.55;95.82
SSP1;CHE;73.62;77.79;80.87;83.21;85.04;86.50;87.70;88.68;89.52;90.23;90.84;91.37;91.83;92.24;92.61;92.94;93.23;93.50;93.74
SSP1;SYR;55.74;59.88;63.84;67.58;71.09;74.33;77.31;80.01;82.45;84.64;86.59;88.31;89.84;91.18;92.36;93.38;94.28;95.06;95.74
SSP1;TJK;26.32;30.72;35.40;40.26;45.19;50.09;54.86;59.43;63.73;67.72;71.39;74.72;77.73;80.42;82.82;84.95;86.83;88.49;89.94
SSP1;MKD;59.31;63.11;66.78;70.30;73.62;76.72;79.59;82.20;84.55;86.66;88.53;90.17;91.61;92.86;93.93;94.86;95.65;96.33;96.91
SSP1;THA;33.96;38.79;43.62;48.36;52.92;57.22;61.23;64.92;68.30;71.37;74.15;76.66;78.91;80.94;82.76;84.40;85.87;87.20;88.39
SSP1;TLS;28.12;33.06;38.20;43.43;48.60;53.59;58.32;62.72;66.76;70.44;73.75;76.73;79.38;81.73;83.82;85.68;87.32;88.77;90.05
SSP1;TGO;43.44;48.70;53.79;58.64;63.16;67.31;71.09;74.50;77.54;80.25;82.65;84.77;86.64;88.28;89.72;90.99;92.10;93.07;93.92
SSP1;TTO;13.88;16.99;20.57;24.58;28.99;33.70;38.62;43.61;48.58;53.41;58.02;62.36;66.38;70.06;73.41;76.43;79.13;81.55;83.70
SSP1;TUN;67.28;70.52;73.40;75.98;78.28;80.32;82.15;83.78;85.24;86.55;87.73;88.79;89.74;90.60;91.39;92.09;92.74;93.32;93.86
SSP1;TUR;69.65;72.75;75.50;77.93;80.07;81.97;83.66;85.16;86.49;87.69;88.76;89.72;90.59;91.37;92.08;92.72;93.30;93.83;94.32
SSP1;TKM;49.50;53.81;57.98;61.98;65.77;69.31;72.59;75.60;78.34;80.82;83.06;85.07;86.86;88.45;89.86;91.11;92.21;93.19;94.04
SSP1;UGA;13.30;16.13;19.41;23.13;27.29;31.84;36.70;41.79;46.98;52.18;57.25;62.11;66.68;70.91;74.75;78.21;81.29;83.99;86.35
SSP1;UKR;68.79;71.90;74.67;77.13;79.30;81.24;82.96;84.49;85.86;87.09;88.19;89.19;90.08;90.89;91.62;92.29;92.90;93.45;93.95
SSP1;ARE;84.05;85.35;86.56;87.68;88.72;89.68;90.56;91.38;92.12;92.81;93.44;94.02;94.55;95.04;95.48;95.88;96.25;96.59;96.90
SSP1;GBR;79.64;82.70;85.53;88.06;90.28;92.18;93.77;95.09;96.15;97.00;97.68;98.21;98.62;98.94;99.19;99.38;99.52;99.64;99.72
SSP1;TZA;26.38;30.90;35.66;40.54;45.45;50.26;54.89;59.27;63.35;67.12;70.56;73.69;76.51;79.04;81.31;83.34;85.15;86.77;88.20
SSP1;USA;82.29;83.72;85.06;86.31;87.48;88.56;89.56;90.48;91.33;92.11;92.83;93.49;94.09;94.64;95.14;95.60;96.01;96.39;96.74
SSP1;URY;92.48;93.00;93.48;93.94;94.36;94.76;95.12;95.47;95.79;96.09;96.37;96.63;96.87;97.10;97.31;97.50;97.68;97.85;98.00
SSP1;UZB;36.25;40.96;45.69;50.37;54.90;59.21;63.27;67.04;70.51;73.68;76.55;79.13;81.46;83.54;85.40;87.05;88.52;89.83;90.99
SSP1;VEN;93.35;94.55;95.54;96.36;97.03;97.58;98.03;98.40;98.70;98.94;99.14;99.30;99.44;99.54;99.63;99.70;99.76;99.80;99.84
SSP1;VNM;30.38;35.21;40.22;45.30;50.33;55.21;59.85;64.19;68.20;71.86;75.17;78.15;80.80;83.16;85.24;87.08;88.70;90.12;91.37
SSP1;YEM;31.80;36.98;42.27;47.52;52.61;57.44;61.93;66.07;69.83;73.21;76.25;78.95;81.36;83.49;85.37;87.04;88.52;89.82;90.97
SSP1;ZMB;35.70;40.72;45.74;50.64;55.34;59.76;63.86;67.62;71.04;74.13;76.91;79.40;81.63;83.61;85.38;86.96;88.36;89.61;90.72
SSP1;ZWE;38.25;42.81;47.31;51.69;55.87;59.81;63.48;66.88;70.00;72.85;75.44;77.79;79.92;81.84;83.57;85.13;86.54;87.81;88.96
