regnum,ISO,NAME,tslice,rcp,ssp,year,stat,data,value
75,IND,India,future,rcp26,SSP1,2020,mean,CDD,1312
75,IND,India,future,rcp26,SSP1,2020,PopWeightAv,CDD,1456
76,IRL,Ireland,future,rcp26,SSP1,2020,mean,CDD,0
76,IRL,Ireland,future,rcp26,SSP1,2020,PopWeightAv,CDD,0
77,IRN,Iran (Islamic Republic of),future,rcp26,SSP1,2020,mean,CDD,784
77,IRN,Iran (Islamic Republic of),future,rcp26,SSP1,2020,PopWeightAv,CDD,562
78,IRQ,Iraq,future,rcp26,SSP1,2020,mean,CDD,1520
78,IRQ,Iraq,future,rcp26,SSP1,2020,PopWeightAv,CDD,1625
79,ISL,Iceland,future,rcp26,SSP1,2020,mean,CDD,0
79,ISL,Iceland,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
80,ISR,Israel,future,rcp26,SSP1,2020,mean,CDD,523
80,ISR,Israel,future,rcp26,SSP1,2020,PopWeightAv,CDD,430
81,ITA,Italy,future,rcp26,SSP1,2020,mean,CDD,100
81,ITA,Italy,future,rcp26,SSP1,2020,PopWeightAv,CDD,115
82,JAM,Jamaica,future,rcp26,SSP1,2020,mean,CDD,756
82,JAM,Jamaica,future,rcp26,SSP1,2020,PopWeightAv,CDD,612
83,JOR,Jordan,future,rcp26,SSP1,2020,mean,CDD,582
83,JOR,Jordan,future,rcp26,SSP1,2020,PopWeightAv,CDD,432
84,JPN,Japan,future,rcp26,SSP1,2020,mean,CDD,105
84,JPN,Japan,future,rcp26,SSP1,2020,PopWeightAv,CDD,193
85,KAZ,Kazakhstan,future,rcp26,SSP1,2020,mean,CDD,179
85,KAZ,Kazakhstan,future,rcp26,SSP1,2020,PopWeightAv,CDD,137
86,KEN,Kenya,future,rcp26,SSP1,2020,mean,CDD,1008
86,KEN,Kenya,future,rcp26,SSP1,2020,PopWeightAv,CDD,273
87,KGZ,Kyrgyzstan,future,rcp26,SSP1,2020,mean,CDD,5
87,KGZ,Kyrgyzstan,future,rcp26,SSP1,2020,PopWeightAv,CDD,27
88,KHM,Cambodia,future,rcp26,SSP1,2020,mean,CDD,1610
88,KHM,Cambodia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1754
89,KOR,Republic of Korea,future,rcp26,SSP1,2020,mean,CDD,106
89,KOR,Republic of Korea,future,rcp26,SSP1,2020,PopWeightAv,CDD,141
90,KWT,Kuwait,future,rcp26,SSP1,2020,mean,CDD,2174
90,KWT,Kuwait,future,rcp26,SSP1,2020,PopWeightAv,CDD,2227
91,LAO,Lao People's Dem. Republic,future,rcp26,SSP1,2020,mean,CDD,781
91,LAO,Lao People's Dem. Republic,future,rcp26,SSP1,2020,PopWeightAv,CDD,951
92,LBN,Lebanon,future,rcp26,SSP1,2020,mean,CDD,164
92,LBN,Lebanon,future,rcp26,SSP1,2020,PopWeightAv,CDD,141
93,LBR,Liberia,future,rcp26,SSP1,2020,mean,CDD,876
93,LBR,Liberia,future,rcp26,SSP1,2020,PopWeightAv,CDD,916
94,LBY,Libyan Arab Jamahiriya,future,rcp26,SSP1,2020,mean,CDD,1125
94,LBY,Libyan Arab Jamahiriya,future,rcp26,SSP1,2020,PopWeightAv,CDD,663
95,LCA,St. Lucia,future,rcp26,SSP1,2020,mean,CDD,nan
95,LCA,St. Lucia,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
96,LKA,Sri Lanka,future,rcp26,SSP1,2020,mean,CDD,1461
96,LKA,Sri Lanka,future,rcp26,SSP1,2020,PopWeightAv,CDD,1205
97,LSO,Lesotho,future,rcp26,SSP1,2020,mean,CDD,3
97,LSO,Lesotho,future,rcp26,SSP1,2020,PopWeightAv,CDD,7
98,LTU,Lithuania,future,rcp26,SSP1,2020,mean,CDD,19
98,LTU,Lithuania,future,rcp26,SSP1,2020,PopWeightAv,CDD,19
99,LUX,Luxembourg,future,rcp26,SSP1,2020,mean,CDD,21
99,LUX,Luxembourg,future,rcp26,SSP1,2020,PopWeightAv,CDD,21
100,LVA,Latvia,future,rcp26,SSP1,2020,mean,CDD,12
100,LVA,Latvia,future,rcp26,SSP1,2020,PopWeightAv,CDD,13
101,MAC,Macau,future,rcp26,SSP1,2020,mean,CDD,nan
101,MAC,Macau,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
102,MAR,Morocco,future,rcp26,SSP1,2020,mean,CDD,445
102,MAR,Morocco,future,rcp26,SSP1,2020,PopWeightAv,CDD,259
103,MDA,Republic of Moldova,future,rcp26,SSP1,2020,mean,CDD,82
103,MDA,Republic of Moldova,future,rcp26,SSP1,2020,PopWeightAv,CDD,81
104,MDG,Madagascar,future,rcp26,SSP1,2020,mean,CDD,394
104,MDG,Madagascar,future,rcp26,SSP1,2020,PopWeightAv,CDD,227
105,MDV,Maldives,future,rcp26,SSP1,2020,mean,CDD,0
105,MDV,Maldives,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
106,MEX,Mexico,future,rcp26,SSP1,2020,mean,CDD,544
106,MEX,Mexico,future,rcp26,SSP1,2020,PopWeightAv,CDD,443
107,MKD,TFYR Macedonia,future,rcp26,SSP1,2020,mean,CDD,77
107,MKD,TFYR Macedonia,future,rcp26,SSP1,2020,PopWeightAv,CDD,71
108,MLI,Mali,future,rcp26,SSP1,2020,mean,CDD,2391
108,MLI,Mali,future,rcp26,SSP1,2020,PopWeightAv,CDD,2089
109,MLT,Malta,future,rcp26,SSP1,2020,mean,CDD,nan
109,MLT,Malta,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
110,MMR,Myanmar,future,rcp26,SSP1,2020,mean,CDD,752
110,MMR,Myanmar,future,rcp26,SSP1,2020,PopWeightAv,CDD,1227
111,MNE,Montenegro,future,rcp26,SSP1,2020,mean,CDD,38
111,MNE,Montenegro,future,rcp26,SSP1,2020,PopWeightAv,CDD,38
112,MNG,Mongolia,future,rcp26,SSP1,2020,mean,CDD,29
112,MNG,Mongolia,future,rcp26,SSP1,2020,PopWeightAv,CDD,17
113,MOZ,Mozambique,future,rcp26,SSP1,2020,mean,CDD,710
113,MOZ,Mozambique,future,rcp26,SSP1,2020,PopWeightAv,CDD,702
114,MRT,Mauritania,future,rcp26,SSP1,2020,mean,CDD,2244
114,MRT,Mauritania,future,rcp26,SSP1,2020,PopWeightAv,CDD,2196
115,MUS,Mauritius,future,rcp26,SSP1,2020,mean,CDD,398
115,MUS,Mauritius,future,rcp26,SSP1,2020,PopWeightAv,CDD,398
116,MWI,Malawi,future,rcp26,SSP1,2020,mean,CDD,367
116,MWI,Malawi,future,rcp26,SSP1,2020,PopWeightAv,CDD,350
117,MYS,Malaysia,future,rcp26,SSP1,2020,mean,CDD,863
117,MYS,Malaysia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1072
118,NAM,Namibia,future,rcp26,SSP1,2020,mean,CDD,381
118,NAM,Namibia,future,rcp26,SSP1,2020,PopWeightAv,CDD,437
119,NCL,New Caledonia,future,rcp26,SSP1,2020,mean,CDD,199
119,NCL,New Caledonia,future,rcp26,SSP1,2020,PopWeightAv,CDD,182
120,NER,Niger,future,rcp26,SSP1,2020,mean,CDD,2179
120,NER,Niger,future,rcp26,SSP1,2020,PopWeightAv,CDD,2290
121,NGA,Nigeria,future,rcp26,SSP1,2020,mean,CDD,1547
121,NGA,Nigeria,future,rcp26,SSP1,2020,PopWeightAv,CDD,1471
122,NIC,Nicaragua,future,rcp26,SSP1,2020,mean,CDD,927
122,NIC,Nicaragua,future,rcp26,SSP1,2020,PopWeightAv,CDD,1014
123,NLD,Netherlands,future,rcp26,SSP1,2020,mean,CDD,4
123,NLD,Netherlands,future,rcp26,SSP1,2020,PopWeightAv,CDD,5
124,NOR,Norway,future,rcp26,SSP1,2020,mean,CDD,0
124,NOR,Norway,future,rcp26,SSP1,2020,PopWeightAv,CDD,0
125,NPL,Nepal,future,rcp26,SSP1,2020,mean,CDD,267
125,NPL,Nepal,future,rcp26,SSP1,2020,PopWeightAv,CDD,633
